"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"High","2022-02-11","2022-02-15","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass171196A5616743329853B30D86BF3D2B""><a href=""https&#58;//members.healthtrustpg.com/contracts/1351"" title=""1351"">1351</a></div>","<div class=""ExternalClassBA974E584C454474B8932F70351723E0"">CADD? disposable skus</div>","<div class=""ExternalClass19F0C93BD9794ED9AD52C15C1DC6BEF2""><a href=""https&#58;//portal.healthtrustpg.com/-/media/81DECED9761D4EABB0A54961C90FB62F.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=203159639&amp;_hsenc=p2ANqtz-8xWlAUiQWtSJbm-sg5lyMduXHmg2euuqOF-n7paz-5FecK9kJE_RwZ53RkgDn0ABD3uwQ7rp2gOU8y2fqru4J5rNy"" title=""?Smiths Medical Letter""><span style=""color&#58;black;"">?</span>Smiths Medical Letter</a></div>","Smiths Medical  has provided updated information on supply disruptions of a subset of CADD disposables. Please see details in the letter.","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClassB3EA468F9D884296A0966507756D8437""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/1351"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass626547DCD9204B63920569460E0F2335""><a href=""https://members.healthtrustpg.com/contracts/1351"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"Medium","2022-04-06","2022-04-06","Irrigation - Bulb","<div class=""ExternalClassC12ADE5F82354EC1AE178161E97F1467""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/7219"" title=""7219"">7219</a><a href=""https&#58;//members.healthtrustpg.com/contracts/749"" title=""749""><span style=""color&#58;black;"">?</span></a><br></div></div>","<div class=""ExternalClass37DEE50CF8C44255A731CC214D9C81BB""><div>Piston irrigation tray DYNC2303</div><div>Substitute items DYND20302 and DYND20300</div><div class=""ExternalClass8776D3E723CE4B78858C4FFF86FA72E2""> </div></div>","<div class=""ExternalClass6534D6F44A7D45CA9890C6FB96E3EC5C"">No official letter communicated. Information received via supplier.</div>","Piston irrigation tray DYNC2303 in tight supply into Q2
Substitute items: DYND20302 and DYND20300","Demand Fluctuations","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass2CE2337E71D84CD3BB37B3689485E453""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/7219?"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassF9D4344C941E44BF98365D5D9CAD06C1""><a href=""https://members.healthtrustpg.com/contracts/7219?"" title=""Irrigation Products - Bulb"">Irrigation Products - Bulb</a></div>"
"Watch","2021-11-12","2022-02-17","IT Hardware","<div class=""ExternalClass309E7E4D0D654DD2BED8037A75B52141""><ul><li><a href=""https&#58;//members.healthtrustpg.com/contracts/2500"" title=""2500"">2500</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/7581"" title=""7581"">7581</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/64095"" title=""64095"">64095</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/40993"" title=""40993"">40993</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/7593"" title=""7593"">7593</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/7589"" title=""7589"">7589</a><a href=""https&#58;//members.healthtrustpg.com/contracts/2500"" title=""2500""><span style=""color&#58;black;"">?</span></a></li></ul></div>","<div class=""ExternalClass3C11A787CE33448BB15DD999E4C7D803"">Laptop, Desktops, Servers, Tablets, monitors, printers, IT accessories, and IT peripherals</div>","<div class=""ExternalClass442BB492C0774CA3A6D614FEF903E0D8""><a href=""https&#58;//www.cdw.com/content/cdw/en/updates/operations-and-distribution-responses.html"" title=""CDW Operations Response"">CDW Operations Response</a></div>","Highly fluid and industrywide situation of supply chain constraints, pricing volatility and longer-than-normal delivery times for many IT manufacturers","Shipping Delays, Not Specified - Global Supply Challenges","Member Communication","","<div class=""ExternalClass4B9E293B53FB4D7986988099A476B640"">No cross posted</div>"
"Medium","2022-03-23","2022-03-23","Kits - Arterial Blood Gas","<div class=""ExternalClassD2F6A38D95614387A77FD1A061E670F4""><a href=""https&#58;//members.healthtrustpg.com/contracts/880"" title=""880"">880</a></div>","<div class=""ExternalClass4D5D50CBF15B43A8901228A6108C80D3""><span style=""color&#58;black;"">?</span>4589P-1  alternative 4591P-1 <p>4598P-2  alternative 4698P-2 or 4698LH&#160;</p><p>4599P-1  alternative 4699P-1 or 4660P-1 or 4699LH&#160;</p><p>4619P-2  alternative 4629P-2&#160;</p><p>4645P-2  alternative 4698P-2 with 23G needle<br></p></div>","<div class=""ExternalClassC522533A2666484DBC61524647DAAD77""><a href=""https&#58;//portal.healthtrustpg.com/-/media/A79078B4BE434FEEA9C90FC2EFA9CB1F.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=191873324&amp;_hsenc=p2ANqtz-_apRtU5ibfCFYOeZI8FMQucNiDNpVXMMv-iNVkysb_sA9ySkRCUUtQtkDGoHQMQFyOatxGcPof0JfBNeEur5N4dk_"" title=""Smiths Medical Letter"">Smiths Medical Letter</a></div>","Smiths Medical is experiencing increased demand across select skus due to demand spikes from COVID-19. Several skus will be on allocation through February 2022.","Demand Fluctuations","Alternatives Recommended by Supplier","<div class=""ExternalClassAF657A7DF4794804AC51813224B27F2D""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/880"" title=""Award Summary""><span style=""color&#58;black;"">?</span>Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass2027A95D8EA44851889430D8968FBEE4""><a href=""https://members.healthtrustpg.com/contracts/880"" title=""Kits - Arterial Blood Gas"">Kits - Arterial Blood Gas</a></div>"
"Low","2022-05-13","2022-05-16","Linens and Textiles - Reusable (Pillows, Reusable)","<div class=""ExternalClassF5BBE7AC735644389629DC0AAB2E03F2""><a href=""https&#58;//members.healthtrustpg.com/contracts/200"" title=""200"">200</a></div>","<div class=""ExternalClass47BA30247B3C47A7AA7E86A8708944B5""><span style=""color&#58;black;""><p style=""""><span style=""color&#58;black;"">?</span>UPDATE 5/13&#58; Impacted products updated below</p></span></div><div class=""ExternalClass47BA30247B3C47A7AA7E86A8708944B5""><span style=""color&#58;black;""><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><b><p><br></p>Underpads</b>&#58; <p>MDTIU7SEFBLU is impacted by inventory shortages due to import shipments being delayed. Sub item&#58; MDTIU7SEFGRE<br></p><div><p><br></p><b>Terries</b>&#58;&#160; <p>MDTWC4B11HR Sub&#58; MDTWC3C11HR&#160; - Resolution May 2022</p><p>MDTWC4B16SR &#160; Sub&#58; MDTWC3C16HR - Resolution June 2022</p><p><br></p><p><b>Reusable OR Towels</b>&#58;&#160;</p><p>MDTST4A31MIS &#160;Sub item&#58; MDTST4A31JAD<br></p></div>&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160;<br></div></span></div>","<div class=""ExternalClass0104753C4ED24B98B8D820B8F6CEFEC8"">No official letter communicated. Information received via supplier.</div>","UPDATE 5/13: Medline is experiencing increased demand along with vendor shipment delays.","Demand Fluctuations, Shipping Delays","Contracted Alternatives, Alternatives Recommended by Supplier","","<div class=""ExternalClassBC5618071DD14F14B140433D59218826""><a href=""https://members.healthtrustpg.com/contracts/200"" title=""Pillows - Disposable"">Pillows - Disposable</a></div>"
"Low","2022-05-13","2022-05-16","Maternal and Neonatal Products","<div class=""ExternalClassF54EAB584DE941E4A1A4D8B6344A8889""><a href=""https&#58;//members.healthtrustpg.com/contracts/753"" title=""753"">753</a></div>","<div class=""ExternalClass8EF90B23083F42DBA60A26201499E2A1""><span style=""color&#58;black;"">?</span>Item # 114700-010T being recalled and discontinued - contracted substitute&#58; IHW4X4GVT&#160;<p>11460-010T<br></p></div>","<div class=""ExternalClassFC9E6D1D4D6A4370BADE2E9187F87F61""><a href=""https&#58;//portal.healthtrustpg.com/-/media/3507AE84C0B943F5A908F02BB0C2D666.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202856013&amp;_hsenc=p2ANqtz-9Yhoc_jnxOA9X9udUTprNFWb35Ilnm6aFnZK5j1OueMoGDfKwWL65DooNuVu5O0BO9eMjvYHXARKOIgKfFX2l7-LD"" title=""?Cardinal Letter""><span style=""color&#58;black;"">?</span>Cardinal Letter</a></div>","Philips notified Cardinal Health that they initiated a voluntary recall of their Infant Heel Warmer products due to mislabeling. This recall includes Cardinal Health item number 11470-010T. It will be discontinued from contract.  The recommended contracted substitute is item 11460-010T.                                                                             **Cardinal is starting to experience supply constraints on all infant heel warmers.  The constraints are caused by a combination of the Phillips discontinuation and sodium thiosulfate availability which is the main heat warming ingredient.  While the finished good is produced domestically, sodium thiosulfate comes from overseas and is impacted by the supply chain difficulties.","Mislabeling, Voluntary Recall, Product Discontinuation","Contracted Alternatives, Clinical Alternatives","<div class=""ExternalClass4522F709AC9648E08B78F8643E6827D5""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/753"" title=""?Award Summary"">?Award Summary</a></span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/753.Heel%20Warmers_FINAL.pdf?csf=1&amp;web=1&amp;e=iEpH9A"" title=""Clinical Resource - ?Heel Warmer Clinical Evidence"">Clinical Resource - ?Heel Warmer Clinical Evidence</a></li></ul></div></div>","<div class=""ExternalClassB4313C58324E4C718475627E3206E7BD"">No cross posted</div>"
"Low","2022-03-23","2022-03-23","Maternal and Neonatal Products","<div class=""ExternalClass63E970554DEC42C8A1FC0DF824384A4D""><a href=""https&#58;//members.healthtrustpg.com/contracts/753"" title=""753"">753</a></div>","<div class=""ExternalClassF7A0C096DEEA4BDEA13370BD8B21399F"">Various SKUs identified in letter</div>","<div class=""ExternalClassDDE7068FA6FB410383FEC1BC531F9FCE""><a href=""https&#58;//portal.healthtrustpg.com/-/media/3507AE84C0B943F5A908F02BB0C2D666.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202856013&amp;_hsenc=p2ANqtz-90_rSrSWJ3W918_IWc_TUI9mkWV36zh4vugJyRk3ugDjVf-L7O8_WXmYDmt2OtDTsAwiSDhqJpJh1-nfnJh2fQ24J"" title=""?Cardinal Letter""><span style=""color&#58;black;"">?</span>Cardinal Letter</a></div>","Supply Constraints due to various raw material and transportation delays.","Raw Material Shortage, Shipping Delays","Alternatives Recommended by Supplier, Clinical Alternatives","<div class=""ExternalClassC3F33CE109A64535A89F304228F8F4D1""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/753"" title=""?Award Summary""><span style=""color&#58;black;"">?</span>?Award Summary</a></span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/753.Heel%20Warmers_FINAL.pdf?csf=1&amp;web=1&amp;e=ceksQH"" title=""Clinical Resource - Heel Warmer Clinical Evidence?"">Clinical Resource - Heel Warmer Clinical Evidence?</a></li></ul></div></div>","<div class=""ExternalClass545E5B307CD54087802996561BCFF5DF"">No cross posted</div>"
"Low","2021-12-10","2022-02-11","Maternal and Neonatal Products","<div class=""ExternalClass707C2F4DAB484A8FA44A0D1A17590F62""><a href=""https&#58;//members.healthtrustpg.com/contracts/750"" title=""750"">750</a></div>","<div class=""ExternalClass6C6AB453CA5F4FBC9E2E98E9BE6BC8EE"">Item # 989805616831 being recalled and discontinued</div>","<div class=""ExternalClass7C860167ADE24F29AA81CEA51C079F6E"">Philips Recall</div>","Philips initiated a voluntary recall of their Infa-Therm Transport Mattress due to mislabeling.","Not Selected","Sourcing Alternatives","","<div class=""ExternalClass2B8E972928FA4E279E5510179AC11EC5"">No cross posted</div>"
"Low","2022-03-23","2022-03-23","Maternal and Neonatal Products","<div class=""ExternalClassD470FD2BD53146FE9DA842E2FE786EDC""><a href=""https&#58;//members.healthtrustpg.com/contracts/77329"" title=""77329"">77329</a></div>","<div class=""ExternalClassBBC788426AD9429EAB4663ABE604DA8F"">Item # 989805637451&#58; 2ML 24% SUCROSE SWEET-EASE</div>","<div class=""ExternalClassB41FF6242C0E49EAA05C9C5648B52464"">No official letter communicated. Information received via supplier.</div>","International Biomedical is experiencing supply issues with raw plastic needed for vial production. New vials are shipping now, but face a 21 day quarantine for QC inspection before being able to be sold (confirming sterility).  Expect to be able to ship vials again starting on Monday Dec. 10, 2021.","Raw Material Shortage","Contracted Alternatives","<div class=""ExternalClass9D922804D8BF4EE6968CAD54F804C1C0""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/77329"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass0219526FD7B04185B339A4ED008ABA52"">No cross posted</div>"
"High","2022-05-13","2022-05-16","Needles and Syringes (Conventional)","<div class=""ExternalClass2E34CA249E154A47A241D1357E8CB5EF""><a href=""https&#58;//members.healthtrustpg.com/contracts/132"" title=""132"">132</a></div>","<div class=""ExternalClassC45BA61D901847C792720C7A85106415""><font color=""#000000""><span style=""color&#58;black;"">?</span>UPDATE 5/13&#58; Updated Affected Products</font></div><div class=""ExternalClassC45BA61D901847C792720C7A85106415""><font color=""#000000""><div style=""margin-top&#58;0px;margin-bottom&#58;0px;"">405161<p>405180</p><p>405181</p><p>405182</p><p>405184<br></p></div></font></div>","<div class=""ExternalClass3D4925C9484549F7A3BA5309119DD486""><a href=""https&#58;//portal.healthtrustpg.com//-/media/Files/HealthTrust/general-news/2021/202112/20211210/20211210%20BD%2043915a%20External%20Product%20Supply%20Notice%20for%20BD%20Anesthesia%20Products%20v10.ashx"" title=""?BD Letter""><span style=""color&#58;black;"">?</span>BD Letter</a></div>","BD is experiencing intermittent supply constraints on the BD Anesthesia portfolio including spinal &amp; epidural needles. The intermittent supply constraint is driven by a shortage of supply of its top web packaging materials. These constraints may result in longer than anticipated order fulfillment. ","Packaging Issue","Purchase Allocation","","<div class=""ExternalClass9EC66CE8F2BA441C8CC77FDA38A29DE8"">No cross posted</div>"
"High","2022-05-13","2022-05-16","Needles and Syringes (Safety)","<div class=""ExternalClass419A1A634BA94C7D83B5C54565382BC2""><a href=""https&#58;//members.healthtrustpg.com/contracts/689"" title=""689"">689</a></div>","<div class=""ExternalClassFFD968DDBAC947EBB5FA639C1D828B5B""><span style=""color&#58;black;""><p>Product Updates&#58;</p></span><b>Magellan? Hypodermic Safety Needles&#58;&#160;</b></div><div class=""ExternalClassFFD968DDBAC947EBB5FA639C1D828B5B""><p>8881850815<br></p><div>8881850915<br></div><div>8881850215<br></div><div>8881850015<br></div><span>8881850910&#160;&#160;<p><br></p></span><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><b>Monoject? Safety Hypodermic Needles&#58;&#160;</b>11832210<p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><b>Magellan? &#160;and Monoject? Safety Insulin and Tuberculin</b>&#58; All products on rolling backorder<p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><b>Standard Needles and Syringes</b>&#58; All products on allocation and experiencing rolling backorders.</div><br></div><br></div></div>","<div class=""ExternalClass4DD2A696991E450199DA68DDDC8D3135"">No official letter communicated. Information received via supplier.</div>","UPDATE 5/13:
Due to labor constraints, raw material shortages and shipping delays, some product lines are on fair share allocation to protect current customers and are not accepting new business. 
Monoject? Safety Needles:
Magellan? &amp; Monoject? Safety Insulin and Tuberculin syringes experiencing increased labor constraints and on rolling backorder. 

Standard Needles and Syringes:
Increased demand, manufacturing and labor constraints, and increased lead time for raw materials are contributing to these products experiencing rolling backorders. To support, these products are on fair share allocation.

Monoject? Standard Hypodermic Needles &amp; Syringes
? 3mL soft pack combinations ? through July 2022
? 3mL rigid pack needle &amp; syringe combinations ?
through July 2022
? Standard Soft Pack needles ? through August 2022
? Standard Rigid Pack needles ? rolling backorder 
? Standard Aluminum Hub needles ? through November 
2022
? 1mL &amp; 6mL needle &amp; syringe combinations ? rolling 
backorder","Labor Shortages, Raw Material Shortage, Manufacturing Delays from Third Party Vendor, Demand Fluctuations","Contracted Alternatives, Non-Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass67CFDF62B28644E5B657A4F4FFEFD956""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/689"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass48D99768453B491D9FEEB5210E7025CC""><a href=""https://members.healthtrustpg.com/contracts/689"" title=""Needles &amp; Syringes - Safety"">Needles &amp; Syringes - Safety</a></div>"
"Low","2022-05-13","2022-05-16","Negative Pressure Wound Therapy","<div class=""ExternalClassB177AC49E9B3419FA5C7729E36283433""><a href=""https&#58;//members.healthtrustpg.com/contracts/746"" title=""746"">746</a></div>","<div class=""ExternalClassF802CF9A19E042A69A8D6B1855B226F2""><font color=""#000000"">UPDATE 5/13&#58; Updated Affected Products<div style=""margin-top&#58;0px;margin-bottom&#58;0px;"">3M Prevena Restor AxioForm System Kit PRE5501<p>3M Prevena Restor BellaForm System Kit, PRE5221<br></p></div></font></div>","<div class=""ExternalClass4EFF1442E26241E8816E59C7FA80A102""><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/8BDB2E0B9FB1410D9D1D02B46D9DF706.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212468361&amp;_hsenc=p2ANqtz-8H1V9vx03aHcMrWufKwpJogFNWYpGJ3E2IXj5UAMWLP3NR8_s3Ld0vgFLEA79Ii4AvJ3TX6AL30wF3GuMrh0dmG5B"" title=""UPDATE 5/13&#58; KCI/3M April 28 Letter"">UPDATE 5/13&#58; KCI/3M April 28 Letter</a></li><li><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/A503130F215F4675B6C48ACDB7D6244F.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=170797990&amp;_hsenc=p2ANqtz--_ezu20EhHocdtck0QIDvHwwy7O3yMNcRoUVJm5HmJsD4EX7keqEjoWFatIuSeNeHlMnA10QKty-dq3VcPw72CArG"" title=""?KCI/3M Letter""><span style=""color&#58;black;"">?</span>?KCI/3M Letter</a></span></li></ul></div>","UPDATE 5/13: 
KCI/3M is experiencing a backorder on 3M Prevena Restor AxioForm System Kit, PRE5501 and 3M Prevena Restor BellaForm System Kit, PRE5221, due to supply chain related issues.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClassC05A6CCFDC474C1FBA04D42C0F4D54CF""><div><ul><li>Award Summary</li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/746.Product-Features-Summary.NPWT.xlsx?d=w2a83d2580f0842c68c291f39afdc776b&amp;csf=1&amp;web=1&amp;e=VhhBal"" title=""Clinical Resource - NPWT PFS?"">Clinical Resource - NPWT PFS?</a></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/746.TechnologyReview.NPWT.pdf?csf=1&amp;web=1&amp;e=DQeBAo"" title=""Clinical Resource - NPWT Tech Review"">Clinical Resource - NPWT Tech Review</a></li></ul></div></div>","<div class=""ExternalClass6754D51D27BA436C9717EFBD1E831917""><a href=""https://members.healthtrustpg.com/contracts/746"" title=""Negative Pressure Wound Therapy"">Negative Pressure Wound Therapy</a></div>"
